read_name,true_start,aligned_start,abs_pos_error,mapq,error_rate,is_coding,region,tool
read_131_start23214912_len10000,23214912,23214913,1,60,0.0507,False,noncoding,ngmlr
read_133_start49960665_len10000,49960665,49960673,8,60,0.0478,False,noncoding,ngmlr
read_135_start46465491_len10000,46465491,46465492,1,60,0.0469,False,noncoding,ngmlr
read_136_start31322397_len10000,31322397,31322401,4,60,0.0499,False,noncoding,ngmlr
read_137_start27613885_len10000,27613885,27613891,6,58,0.0514,False,noncoding,ngmlr
read_138_start47445999_len10000,47445999,47446001,2,60,0.052,False,noncoding,ngmlr
read_140_start17904999_len10000,17904999,17905000,1,60,0.0483,False,noncoding,ngmlr
read_141_start15371964_len10000,15371964,15371969,5,60,0.0516,False,noncoding,ngmlr
read_142_start24933050_len10000,24933050,24933057,7,60,0.0518,False,noncoding,ngmlr
read_143_start28709419_len10000,28709419,28709425,6,60,0.0466,False,noncoding,ngmlr
read_144_start43667804_len10000,43667804,43667809,5,60,0.0481,False,noncoding,ngmlr
read_148_start24474557_len10000,24474557,24474561,4,60,0.0519,False,noncoding,ngmlr
read_149_start18774457_len10000,18774457,18774465,8,6,0.0471,False,noncoding,ngmlr
read_150_start20927616_len10000,20927616,20927617,1,60,0.052,False,noncoding,ngmlr
read_152_start15730510_len10000,15730510,15730513,3,46,0.0492,False,noncoding,ngmlr
read_153_start10608889_len10000,10608889,10608897,8,57,0.053,False,noncoding,ngmlr
read_154_start15333629_len10000,15333629,15333633,4,55,0.053,False,noncoding,ngmlr
read_155_start13322978_len10000,13322978,13322981,3,10,0.0544,False,noncoding,ngmlr
read_156_start27551914_len10000,27551914,27551921,7,60,0.0467,False,noncoding,ngmlr
read_157_start38293277_len10000,38293277,38293281,4,60,0.0545,False,noncoding,ngmlr
read_158_start27807237_len10000,27807237,27807238,1,60,0.0509,False,noncoding,ngmlr
read_160_start36828556_len10000,36828556,36828564,8,60,0.0514,False,noncoding,ngmlr
read_161_start18973024_len10000,18973024,18973025,1,55,0.0525,False,noncoding,ngmlr
read_166_start22747751_len10000,22747751,22747752,1,57,0.0504,False,noncoding,ngmlr
read_167_start26425490_len10000,26425490,26425491,1,58,0.0542,False,noncoding,ngmlr
read_169_start10630560_len10000,10630560,10630561,1,50,0.0533,False,noncoding,ngmlr
read_170_start12149427_len10000,12149427,12149428,1,11,0.0542,False,noncoding,ngmlr
read_172_start27425917_len10000,27425917,27425923,6,60,0.05,False,noncoding,ngmlr
read_173_start49825972_len10000,49825972,49825973,1,60,0.0531,False,noncoding,ngmlr
read_174_start41758054_len10000,41758054,41758055,1,60,0.0524,False,noncoding,ngmlr
read_175_start49109940_len10000,49109940,49109941,1,60,0.0529,False,noncoding,ngmlr
read_176_start49854524_len10000,49854524,49854529,5,58,0.052,False,noncoding,ngmlr
read_179_start32335056_len10000,32335056,32335057,1,60,0.0474,False,noncoding,ngmlr
read_180_start32159396_len10000,32159396,32159400,4,54,0.0512,False,noncoding,ngmlr
read_181_start22386478_len10000,22386478,22386482,4,60,0.0478,False,noncoding,ngmlr
read_182_start22143141_len10000,22143141,22143142,1,60,0.0499,False,noncoding,ngmlr
read_183_start12566604_len10000,12566604,12566609,5,6,0.0492,False,noncoding,ngmlr
read_185_start29641769_len10000,29641769,29641777,8,54,0.0497,False,noncoding,ngmlr
read_186_start28179524_len10000,28179524,28179525,1,60,0.0521,False,noncoding,ngmlr
read_187_start34836768_len10000,34836768,34836769,1,60,0.0506,False,noncoding,ngmlr
read_191_start11957311_len10000,11957311,11957313,2,46,0.0481,False,noncoding,ngmlr
read_192_start48260690_len10000,48260690,48260691,1,60,0.0505,False,noncoding,ngmlr
read_193_start15482926_len10000,15482926,15482929,3,60,0.0498,False,noncoding,ngmlr
read_195_start41920050_len10000,41920050,41920051,1,60,0.0487,False,noncoding,ngmlr
read_196_start38987081_len10000,38987081,38987089,8,48,0.0482,False,noncoding,ngmlr
read_197_start38801043_len10000,38801043,38801044,1,51,0.0512,False,noncoding,ngmlr
read_198_start23493752_len10000,23493752,23493761,9,60,0.0517,False,noncoding,ngmlr
read_199_start36711376_len10000,36711376,36711377,1,60,0.0521,False,noncoding,ngmlr
read_200_start35922500_len10000,35922500,35922501,1,60,0.052,False,noncoding,ngmlr
read_201_start47033827_len10000,47033827,47033828,1,60,0.0503,False,noncoding,ngmlr
read_202_start11720065_len10000,11720065,11720066,1,26,0.024,False,noncoding,ngmlr
read_204_start40686811_len10000,40686811,40686817,6,60,0.0515,False,noncoding,ngmlr
read_206_start42810008_len10000,42810008,42810019,11,60,0.0462,False,noncoding,ngmlr
read_207_start50032970_len10000,50032970,50032977,7,60,0.0531,False,noncoding,ngmlr
read_208_start12316552_len10000,12316552,12316561,9,3,0.0482,False,noncoding,ngmlr
read_209_start34097752_len10000,34097752,34097761,9,60,0.0488,False,noncoding,ngmlr
read_211_start35222176_len10000,35222176,35222177,1,60,0.0504,False,noncoding,ngmlr
read_212_start14517148_len10000,14517148,14517156,8,6,0.0468,False,noncoding,ngmlr
read_213_start13422379_len10000,13422379,13422386,7,10,0.0481,False,noncoding,ngmlr
read_214_start43400082_len10000,43400082,43400083,1,60,0.0516,False,noncoding,ngmlr
read_215_start24899638_len10000,24899638,24899639,1,60,0.0517,False,noncoding,ngmlr
read_217_start18812762_len10000,18812762,18812769,7,10,0.0515,False,noncoding,ngmlr
read_218_start13348241_len10000,13348241,13348242,1,10,0.0307,False,noncoding,ngmlr
read_220_start39536416_len10000,39536416,39536417,1,60,0.0475,False,noncoding,ngmlr
read_222_start31151612_len10000,31151612,31151617,5,60,0.0508,False,noncoding,ngmlr
read_224_start12373016_len10000,12373016,12373025,9,46,0.0506,False,noncoding,ngmlr
read_225_start32656956_len10000,32656956,32656961,5,60,0.0523,False,noncoding,ngmlr
read_226_start49963336_len10000,49963336,49963345,9,60,0.0496,False,noncoding,ngmlr
read_227_start16545198_len10000,16545198,16545201,3,45,0.0522,False,noncoding,ngmlr
read_228_start49521549_len10000,49521549,49521560,11,60,0.047,False,noncoding,ngmlr
read_229_start21307747_len10000,21307747,21307748,1,2,0.0469,False,noncoding,ngmlr
read_230_start26671890_len10000,26671890,26671892,2,60,0.049,False,noncoding,ngmlr
read_231_start22997499_len10000,22997499,22997505,6,60,0.044,False,noncoding,ngmlr
read_232_start50026674_len10000,50026674,50026677,3,58,0.0501,False,noncoding,ngmlr
read_233_start41798162_len10000,41798162,41798163,1,60,0.0535,False,noncoding,ngmlr
read_234_start49104469_len10000,49104469,49104470,1,60,0.0499,False,noncoding,ngmlr
read_235_start37936667_len10000,37936667,37936674,7,60,0.0502,False,noncoding,ngmlr
read_236_start24426682_len10000,24426682,24426689,7,60,0.0472,False,noncoding,ngmlr
read_237_start21478775_len10000,21478775,21478776,1,10,0.0544,False,noncoding,ngmlr
read_238_start47642059_len10000,47642059,47642066,7,60,0.0512,False,noncoding,ngmlr
read_239_start24600431_len10000,24600431,24600433,2,43,0.0514,False,noncoding,ngmlr
read_241_start16446350_len10000,16446350,16446353,3,60,0.0473,False,noncoding,ngmlr
read_242_start15622885_len10000,15622885,15622886,1,60,0.0535,False,noncoding,ngmlr
read_243_start31639758_len10000,31639758,31639761,3,60,0.0499,False,noncoding,ngmlr
read_244_start17505522_len10000,17505522,17505523,1,60,0.0515,False,noncoding,ngmlr
read_245_start36201139_len10000,36201139,36201140,1,58,0.0473,False,noncoding,ngmlr
read_246_start41226298_len10000,41226298,41226305,7,60,0.0519,False,noncoding,ngmlr
read_247_start38608095_len10000,38608095,38608097,2,60,0.0531,False,noncoding,ngmlr
read_249_start37283017_len10000,37283017,37283025,8,60,0.0479,False,noncoding,ngmlr
read_250_start46825307_len10000,46825307,46825313,6,60,0.0543,False,noncoding,ngmlr
read_251_start44949389_len10000,44949389,44949393,4,60,0.0502,False,noncoding,ngmlr
read_252_start13951330_len10000,13951330,13953891,2561,12,0.0402,False,noncoding,ngmlr
read_253_start28199319_len10000,28199319,28199320,1,60,0.0483,False,noncoding,ngmlr
read_255_start50617946_len10000,50617946,50617956,10,60,0.0493,False,noncoding,ngmlr
read_256_start21037098_len10000,21037098,21037105,7,60,0.0483,False,noncoding,ngmlr
read_258_start20814906_len10000,20814906,20814914,8,60,0.0526,False,noncoding,ngmlr
read_260_start47335616_len10000,47335616,47335617,1,60,0.0483,False,noncoding,ngmlr
read_261_start48500366_len10000,48500366,48500369,3,60,0.0531,False,noncoding,ngmlr
read_262_start45544489_len10000,45544489,45544497,8,60,0.0502,False,noncoding,ngmlr
read_263_start37235157_len10000,37235157,37235160,3,60,0.0479,False,noncoding,ngmlr
read_264_start47580171_len10000,47580171,47580177,6,60,0.0473,False,noncoding,ngmlr
read_265_start44966406_len10000,44966406,44966407,1,60,0.0483,False,noncoding,ngmlr
read_269_start39090988_len10000,39090988,39090993,5,60,0.051,False,noncoding,ngmlr
read_270_start19946049_len10000,19946049,19946050,1,60,0.0522,False,noncoding,ngmlr
read_272_start18632192_len10000,18632192,18632193,1,2,0.0492,False,noncoding,ngmlr
read_273_start22848644_len10000,22848644,22848645,1,60,0.05,False,noncoding,ngmlr
read_274_start23340651_len10000,23340651,23340657,6,42,0.0504,False,noncoding,ngmlr
read_275_start24133866_len10000,24133866,24133873,7,60,0.0513,False,noncoding,ngmlr
read_276_start35060108_len10000,35060108,35060113,5,57,0.0491,False,noncoding,ngmlr
read_277_start38750321_len10000,38750321,38750322,1,60,0.0544,False,noncoding,ngmlr
read_278_start39868762_len10000,39868762,39868769,7,60,0.0543,False,noncoding,ngmlr
read_279_start25167646_len10000,25167646,25167649,3,60,0.0487,False,noncoding,ngmlr
read_280_start32814984_len10000,32814984,32814993,9,60,0.0521,False,noncoding,ngmlr
read_281_start30827747_len10000,30827747,30827748,1,60,0.0505,False,noncoding,ngmlr
read_283_start47899562_len10000,47899562,47899569,7,60,0.052,False,noncoding,ngmlr
read_284_start43247721_len10000,43247721,43247729,8,60,0.0479,False,noncoding,ngmlr
read_286_start19545815_len10000,19545815,19545816,1,60,0.047,False,noncoding,ngmlr
read_287_start32579743_len10000,32579743,32579745,2,60,0.0485,False,noncoding,ngmlr
read_288_start22981059_len10000,22981059,22981060,1,60,0.0517,False,noncoding,ngmlr
read_289_start34600202_len10000,34600202,34600209,7,59,0.0536,False,noncoding,ngmlr
read_290_start30071407_len10000,30071407,30071409,2,60,0.0492,False,noncoding,ngmlr
read_291_start19460317_len10000,19460317,19460321,4,60,0.0511,False,noncoding,ngmlr
read_292_start49174246_len10000,49174246,49174247,1,60,0.0515,False,noncoding,ngmlr
read_293_start10848664_len10000,10848664,10848673,9,4,0.0493,False,noncoding,ngmlr
read_294_start42435611_len10000,42435611,42435617,6,60,0.0525,False,noncoding,ngmlr
read_296_start37899448_len10000,37899448,37899457,9,60,0.0521,False,noncoding,ngmlr
read_298_start48227056_len10000,48227056,48227057,1,60,0.0511,False,noncoding,ngmlr
read_299_start15156132_len10000,15156132,15156133,1,60,0.0472,False,noncoding,ngmlr
read_301_start15878027_len10000,15878027,15878033,6,3,0.0525,False,noncoding,ngmlr
read_302_start43916916_len10000,43916916,43916917,1,60,0.0484,False,noncoding,ngmlr
read_303_start37424308_len10000,37424308,37424310,2,60,0.0492,False,noncoding,ngmlr
read_305_start47018342_len10000,47018342,47018343,1,60,0.0463,False,noncoding,ngmlr
read_306_start37834280_len10000,37834280,37834289,9,60,0.0489,False,noncoding,ngmlr
read_307_start49898735_len10000,49898735,49898737,2,60,0.0484,False,noncoding,ngmlr
read_308_start41237927_len10000,41237927,41237928,1,60,0.0489,False,noncoding,ngmlr
read_309_start21267335_len10000,21267335,21267342,7,7,0.0505,False,noncoding,ngmlr
read_310_start24882318_len10000,24882318,24882321,3,60,0.0533,False,noncoding,ngmlr
read_311_start45360100_len10000,45360100,45360101,1,60,0.05,False,noncoding,ngmlr
read_312_start49988576_len10000,49988576,49988579,3,60,0.0491,False,noncoding,ngmlr
read_313_start35862349_len10000,35862349,35862353,4,60,0.0485,False,noncoding,ngmlr
read_314_start26838227_len10000,26838227,26838228,1,60,0.0506,False,noncoding,ngmlr
read_315_start33749126_len10000,33749126,33749127,1,60,0.051,False,noncoding,ngmlr
read_316_start29409419_len10000,29409419,29409426,7,43,0.0481,False,noncoding,ngmlr
read_317_start19760997_len10000,19760997,19760998,1,60,0.0521,False,noncoding,ngmlr
read_318_start19761737_len10000,19761737,19761745,8,60,0.051,False,noncoding,ngmlr
read_319_start10694701_len10000,10694701,10694705,4,56,0.052,False,noncoding,ngmlr
read_320_start38239139_len10000,38239139,38239140,1,60,0.0523,False,noncoding,ngmlr
read_321_start42906179_len10000,42906179,42906180,1,60,0.0514,False,noncoding,ngmlr
read_323_start44064184_len10000,44064184,44064195,11,60,0.0496,False,noncoding,ngmlr
read_324_start15756974_len10000,15756974,15756977,3,60,0.0474,False,noncoding,ngmlr
read_326_start22003430_len10000,22003430,22003431,1,60,0.0484,False,noncoding,ngmlr
read_327_start22525846_len10000,22525846,22525847,1,60,0.052,False,noncoding,ngmlr
read_328_start13089105_len10000,13089105,13089106,1,8,0.0522,False,noncoding,ngmlr
read_329_start45862253_len10000,45862253,45862257,4,60,0.0502,False,noncoding,ngmlr
read_330_start26987909_len10000,26987909,26987911,2,60,0.0524,False,noncoding,ngmlr
read_331_start26162807_len10000,26162807,26162811,4,60,0.048,False,noncoding,ngmlr
read_333_start37044178_len10000,37044178,37044179,1,60,0.0494,False,noncoding,ngmlr
read_334_start21144728_len10000,21144728,21144737,9,4,0.0552,False,noncoding,ngmlr
read_335_start29534129_len10000,29534129,29534130,1,60,0.0482,False,noncoding,ngmlr
read_336_start20139948_len10000,20139948,20139953,5,60,0.0504,False,noncoding,ngmlr
read_338_start41678061_len10000,41678061,41678065,4,60,0.051,False,noncoding,ngmlr
read_339_start46432559_len10000,46432559,46432561,2,60,0.0501,False,noncoding,ngmlr
read_340_start34316192_len10000,34316192,34316193,1,60,0.0484,False,noncoding,ngmlr
read_342_start11205295_len10000,11205295,11210417,5122,60,0.0213,False,noncoding,ngmlr
read_343_start15677177_len10000,15677177,15677186,9,60,0.0463,False,noncoding,ngmlr
read_344_start24016270_len10000,24016270,24016273,3,60,0.0481,False,noncoding,ngmlr
read_345_start44577808_len10000,44577808,44577809,1,60,0.0468,False,noncoding,ngmlr
read_346_start50479113_len10000,50479113,50479121,8,60,0.0479,False,noncoding,ngmlr
read_347_start18900729_len10000,18900729,18900737,8,55,0.0499,False,noncoding,ngmlr
read_348_start11678502_len10000,11678502,11678503,1,48,0.0349,False,noncoding,ngmlr
read_349_start50113384_len10000,50113384,50113393,9,60,0.0501,False,noncoding,ngmlr
read_350_start31559050_len10000,31559050,31559057,7,60,0.0457,False,noncoding,ngmlr
read_351_start50191017_len10000,50191017,50191025,8,60,0.0479,False,noncoding,ngmlr
read_352_start19086179_len10000,19086179,19086180,1,60,0.0467,False,noncoding,ngmlr
read_353_start10864668_len10000,10864668,10864673,5,3,0.0533,False,noncoding,ngmlr
read_354_start15170750_len10000,15170750,15170753,3,57,0.0506,False,noncoding,ngmlr
read_356_start12594648_len10000,12594648,12594657,9,55,0.0518,False,noncoding,ngmlr
read_357_start27267072_len10000,27267072,27267075,3,60,0.0503,False,noncoding,ngmlr
read_360_start40135334_len10000,40135334,40135335,1,60,0.0523,False,noncoding,ngmlr
read_361_start48222516_len10000,48222516,48222517,1,60,0.0516,False,noncoding,ngmlr
read_362_start29767891_len10000,29767891,29767892,1,60,0.0488,False,noncoding,ngmlr
read_363_start42668019_len10000,42668019,42668020,1,60,0.0508,False,noncoding,ngmlr
read_364_start17320990_len10000,17320990,17320993,3,60,0.0519,False,noncoding,ngmlr
read_365_start19783919_len10000,19783919,19783921,2,60,0.0472,False,noncoding,ngmlr
read_366_start11796015_len10000,11796015,11796017,2,21,0.0512,False,noncoding,ngmlr
read_367_start46434513_len10000,46434513,46434514,1,60,0.0473,False,noncoding,ngmlr
read_368_start41582565_len10000,41582565,41582566,1,60,0.0526,False,noncoding,ngmlr
read_369_start32374291_len10000,32374291,32374293,2,60,0.0492,False,noncoding,ngmlr
read_370_start27543241_len10000,27543241,27543249,8,60,0.0498,False,noncoding,ngmlr
read_371_start43979729_len10000,43979729,43979730,1,60,0.051,False,noncoding,ngmlr
read_373_start38437948_len10000,38437948,38437953,5,59,0.048,False,noncoding,ngmlr
read_374_start42997130_len10000,42997130,42997137,7,60,0.0502,False,noncoding,ngmlr
read_375_start36126743_len10000,36126743,36126744,1,60,0.0507,False,noncoding,ngmlr
read_376_start43492969_len10000,43492969,43492978,9,60,0.0478,False,noncoding,ngmlr
read_377_start35625653_len10000,35625653,35625654,1,60,0.0487,False,noncoding,ngmlr
read_378_start17433111_len10000,17433111,17433112,1,60,0.0483,False,noncoding,ngmlr
read_379_start48513329_len10000,48513329,48513330,1,60,0.05,False,noncoding,ngmlr
